Account,EUDIA_Total,December_Expiring,December_Pct,JH_Total,Variance,Recommendation
Uisce Eireann (Irish Water),3410671.4600000004,434886.02,12.750744980872476,0.0,3410671.4600000004,NO ACTION - No JH data
Etsy Ireland UC,1303102.9200000002,259369.68,19.904005740390787,657231.0599999999,645871.8600000002,VERIFY - EUDIA higher than JH
Dropbox International Unlimited Company,608549.06,222037.06,36.486303996591495,396488.0,212061.06000000006,VERIFY - EUDIA higher than JH
Tiktok Information Technologies UK Limited,3657118.54,198879.74,5.4381540501008745,2809960.3400000003,847158.1999999997,VERIFY - EUDIA higher than JH
Indeed Ireland Operations Limited,2729822.2,163565.98,5.99181807518453,1312110.8,1417711.4000000001,VERIFY - EUDIA higher than JH
Cargill,2821000.0,150000.0,5.317263381779511,0.0,2821000.0,NO ACTION - No JH data
Intuit,560000.0,75000.0,13.392857142857142,0.0,560000.0,NO ACTION - No JH data
Teamwork Crew Limited T/A Teamwork.com,312488.27,70357.99,22.515401938127148,73060.28,239427.99000000002,VERIFY - EUDIA higher than JH
Taoglas Limited,293246.64,60782.64,20.727480458088113,180264.0,112982.64000000001,VERIFY - EUDIA higher than JH
Peregrine Hospitality,42000.0,42000.0,100.0,0.0,42000.0,NO ACTION - No JH data
Aramark Ireland,8700.0,8700.0,100.0,81432.0,-72732.0,ADD - Missing JH opportunities
Kellanova (Ireland),558425.73,8352.0,1.4956330898291526,0.0,558425.73,NO ACTION - No JH data
Datalex (Ireland) Limited,875506.31,2368.51,0.27053031747995054,313548.0,561958.31,VERIFY - EUDIA higher than JH
