Id,JH_Original_ACV__c,ACV_Variance_Reason__c,Term_Months__c
006Wj00000NNvht,113100.0,,
006Wj00000MDilK,0.0,No Variance,
006Wj00000MDirs,23.2,No Variance,
006Wj00000MDihP,53244.0,Multi-Year Annualization,6.0
006Wj00000MDirj,5800.0,No Variance,
006Wj00000MDigS,8700.0,No Variance,
006Wj00000MDijb,9819.98,No Variance,
006Wj00000MDigK,35844.0,No Variance,
006Wj00000Mzcjg,1189000.0,Run Rate Capture,2.0
006Wj00000MDilP,41412.0,No Variance,
006Wj00000MDilQ,41412.0,No Variance,
006Wj00000MDiga,41760.0,No Variance,
006Wj00000MDiht,44959.86,No Variance,
006Wj00000MDigZ,48766.4,No Variance,
006Wj00000MDihx,51040.0,No Variance,
006Wj00000MDjhs,52200.0,No Variance,
006Wj00000MDjhy,52200.0,No Variance,
006Wj00000MDji7,34800.0,Rate Adjustment,
006Wj00000LbDQl,44959.86,Rate Adjustment,
006Wj00000LbDRh,76560.0,Term Difference,5.0
006Wj00000MDijS,174000.0,Multi-Year Annualization,2.0
006Wj00000MDirY,58000.0,Rate Adjustment,
006Wj00000MDjhz,69600.0,No Variance,
006Wj00000MDirn,36748.8,Rate Adjustment,
006Wj00000MDihC,40402.8,Rate Adjustment,
006Wj00000LbDQs,76560.0,Rate Adjustment,
006Wj00000LbDRk,87000.0,No Variance,
006Wj00000LbDRl,87000.0,Rate Adjustment,
006Wj00000MDijK,88044.0,Rate Adjustment,
006Wj00000MDikU,8120.0,Bundle Allocation,0.0
006Wj00000MDilr,52200.0,Rate Adjustment,3.0
006Wj00000MDjht,102080.0,No Variance,
006Wj00000MDihR,102544.0,No Variance,
006Wj00000MDigU,226200.0,Multi-Year Annualization,
006Wj00000MDjio,69601.16,Rate Adjustment,6.0
006Wj00000MDilN,104400.0,No Variance,
006Wj00000MDilO,104400.0,No Variance,
006Wj00000MDisf,118320.0,No Variance,
006Wj00000MDilZ,76560.0,Rate Adjustment,
006Wj00000MDils,52200.0,Bundle Allocation,3.0
006Wj00000LbDRm,145000.0,No Variance,
006Wj00000MDil3,149640.0,Term Difference,
006Wj00000MDigB,98258.82,Rate Adjustment,
006Wj00000MDih9,40601.16,Bundle Allocation,
006Wj00000MDijz,104400.0,Rate Adjustment,
006Wj00000MDiki,174000.0,Term Difference,
006Wj00000MDihy,180960.0,Term Difference,
006Wj00000MDigL,106575.0,Rate Adjustment,
006Wj00000MDigY,180803.4,No Variance,
006Wj00000MDii8,187920.0,Term Difference,
006Wj00000MDisG,98601.16,Bundle Allocation,
006Wj00000MDisO,63892.8,Bundle Allocation,
006Wj00000MDihu,69600.0,Bundle Allocation,
006Wj00000MDisc,139200.0,Bundle Allocation,
006Wj00000MDihr,241442.4,Rate Adjustment,
006Wj00000MDilM,385410.0,Bundle Allocation,
006Wj00000MDigi,696000.0,Rate Adjustment,
006Wj00000MDigd,516200.0,Bundle Allocation,
