Account,EUDIA_Opp,EUDIA_Rev,EUDIA_TCV,EUDIA_Term,EUDIA_End,JH_Opp,JH_TCV,JH_Term,JH_End,Rev_Variance,Term_Match
Cargill,Cargill - Cortex Pilot,150000.0,150000,3,12/15/2025,ACCOUNT NOT IN JH,,,,,N/A
Peregrine Hospitality,Peregrine - Eudia Counsel,42000.0,42000,3,12/17/2025,ACCOUNT NOT IN JH,,,,,N/A
Intuit,Intuit - Compliance / M&A Pilot,75000.0,75000,6,12/24/2025,ACCOUNT NOT IN JH,,,,,N/A
Aramark Ireland,Aramark Paralegal Support,8700.0,8700,1,12/21/2025,Aramark Paralegal Support,0.0,1.0,,8700.0,YES
Datalex (Ireland) Limited,Datalex Extension RL 2024 (2),2368.51,2369,12,12/31/2025,Datalex Extension RL 2024 (2),0.0,12.0,,2368.51,YES
Etsy Ireland UC,Etsy Privacy Support Eleanor Power Exten,259369.68,259370,6,12/18/2025,Etsy Privacy Program Manager Sept 25,0.0,4.0,,259369.68,NO
Dropbox International Unlimited Com,Fabiane Arguello 2025 Expansion Hours In,51040.0,51040,7,12/15/2025,Fabiane Arguello 2025 Expansion Hours In,0.0,7.0,,51040.0,YES
Dropbox International Unlimited Com,Fabiane Arguello 2025 extension,170997.06,170997,12,12/20/2025,Fabiane Arguello 2025 Expansion Hours In,0.0,7.0,,170997.06,NO
Indeed Ireland Operations Limited,Indeed DPO ODL,163565.98,163566,9,12/26/2025,Indeed DPO ODL,0.0,9.0,,163565.98,YES
Kellanova (Ireland),Kellanova ODL Transactions Julie Collins,8352.0,8352,1,12/25/2025,ACCOUNT NOT IN JH,,,,,N/A
Taoglas Limited,Taoglas ODL Brendan Gildea additional ho,5800.0,5800,6,12/31/2025,Taoglas ODL Brendan Gildea additional ho,0.0,6.0,,5800.0,YES
Teamwork Crew Limited T/A Teamwork.,Teamwork extension no.4 David Casey (Jun,70357.99,70358,7,12/28/2025,Teamwork extension no.4 David Casey (Jun,0.0,7.0,,70357.99,YES
Tiktok Information Technologies UK ,TikTok DSAR Support ODL Extension 1 Tara,198879.74,198880,6,12/31/2025,ACCOUNT NOT IN JH,,,,,N/A
Uisce Eireann (Irish Water),Uisce Eireann CDS Amal Elbay extension A,38720.8,38721,5,12/21/2025,ACCOUNT NOT IN JH,,,,,N/A
Uisce Eireann (Irish Water),Uisce Eireann CDS Jamie O'Gorman extensi,327388.82,327389,5,12/21/2025,ACCOUNT NOT IN JH,,,,,N/A
Uisce Eireann (Irish Water),Uisce Eireann CDS Luke Sexton extension ,68776.4,68776,5,12/21/2025,ACCOUNT NOT IN JH,,,,,N/A
Taoglas Limited,Taoglas ODL Support 2025,54982.64,54983,8,12/17/2025,Taoglas ODL Brendan Gildea additional ho,0.0,6.0,,54982.64,NO
