Id,Account,Current_Term,Correct_Term,ACV
006Wj00000Mzcjg,"Department of Children, Disability and Equality",12.0,2.0,1189000.0
006Wj00000MDisG,Tiktok Information Technologies UK Limited,6.0,3.0,295800.0
006Wj00000LbDQl,Etsy Ireland UC,4.0,12.0,243460.8
006Wj00000MDilP,OpenAI,4.0,20.0,212976.0
006Wj00000MDijS,Hayes Solicitors LLP,12.0,2.0,174000.0
006Wj00000MDisO,Tinder LLC,6.0,13.0,170252.31
006Wj00000NNvht,Northern Trust Management Services (Ireland) Limited,6.0,11.0,149640.0
006Wj00000MDisf,Udemy Ireland Limited,4.0,9.0,142825.0
006Wj00000MDirj,Taoglas Limited,6.0,10.0,139664.0
006Wj00000MDilP,OpenAI,4.0,15.0,132498.51
006Wj00000MDihu,Etsy Ireland UC,6.0,12.0,121730.4
006Wj00000LbDQl,Etsy Ireland UC,4.0,5.0,84680.0
006Wj00000LbDRh,Dropbox International Unlimited Company,12.0,5.0,76560.0
006Wj00000MDih9,CommScope Technologies LLC,3.0,6.0,74472.0
006Wj00000MDjio,Orsted,12.0,6.0,69601.16
006Wj00000MDihP,Datalex (Ireland) Limited,12.0,6.0,53244.0
006Wj00000MDjhy,OpenAI,4.0,3.0,52200.0
006Wj00000MDihP,Datalex (Ireland) Limited,12.0,2.0,51272.0
006Wj00000MDijK,Glanbia Management Services Limited,13.0,6.0,45124.0
006Wj00000MDilQ,OpenAI,4.0,3.0,41412.0
006Wj00000MDilP,OpenAI,4.0,3.0,41412.0
006Wj00000MDirn,Teamwork Crew Limited T/A Teamwork.com,7.0,5.0,36311.48
006Wj00000MDijK,Glanbia Management Services Limited,13.0,6.0,32538.0
006Wj00000MDigY,Bank of Ireland,5.0,-4.0,29000.0
006Wj00000LbDQl,Etsy Ireland UC,4.0,2.0,29000.0
006Wj00000MDijK,Glanbia Management Services Limited,13.0,6.0,26796.0
006Wj00000MDijK,Glanbia Management Services Limited,13.0,4.0,24882.0
006Wj00000MDigY,Bank of Ireland,5.0,6.0,23803.2
006Wj00000MDijS,Hayes Solicitors LLP,12.0,1.0,23200.0
006Wj00000MDisf,Udemy Ireland Limited,4.0,1.0,22828.8
006Wj00000LbDRl,Tiktok Information Technologies UK Limited,6.0,1.0,18213.16
006Wj00000MDisc,Udemy Ireland Limited,6.0,1.0,16240.0
006Wj00000MDijS,Hayes Solicitors LLP,12.0,4.0,13920.0
006Wj00000MDisc,Udemy Ireland Limited,6.0,1.0,13920.0
006Wj00000LbDRl,Tiktok Information Technologies UK Limited,6.0,1.0,11601.16
006Wj00000LbDRl,Tiktok Information Technologies UK Limited,6.0,1.0,6960.0
006Wj00000LbDRl,Tiktok Information Technologies UK Limited,6.0,1.0,6728.0
006Wj00000LbDRl,Tiktok Information Technologies UK Limited,6.0,1.0,4292.0
